time,hour,pv_w,surplus_w,price,limit_w,charge_w,to_grid_w,curtailed_w,soc_pct,soc_baseline_pct,rule_time_w,rule_price_w,rule_floor_w,rule_solar_cap_w
00:00,0.0,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
00:15,0.25,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
00:30,0.5,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
00:45,0.75,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
01:00,1.0,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
01:15,1.25,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
01:30,1.5,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
01:45,1.75,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
02:00,2.0,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
02:15,2.25,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
02:30,2.5,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
02:45,2.75,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
03:00,3.0,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
03:15,3.25,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
03:30,3.5,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
03:45,3.75,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
04:00,4.0,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
04:15,4.25,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
04:30,4.5,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
04:45,4.75,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
05:00,5.0,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
05:15,5.25,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
05:30,5.5,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
05:45,5.75,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
06:00,6.0,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
06:15,6.25,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
06:30,6.5,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
06:45,6.75,0.0,0.0,0.28,,0.0,0.0,0.0,20.0,20.0,,,,
07:00,7.0,348.8,0.0,0.28,500,0.0,0.0,0.0,20.0,20.0,78,,,1465
07:15,7.25,433.4,33.4,0.28,500,33.4,0.0,0.0,20.08,20.08,84,,,1546
07:30,7.5,533.7,133.7,0.28,500,133.7,0.0,0.0,20.42,20.42,91,,,1635
07:45,7.75,651.0,251.0,0.28,500,251.0,0.0,0.0,21.05,21.05,97,,,1729
08:00,8.0,786.9,386.9,0.28,500,386.9,0.0,0.0,22.01,22.01,105,,,1828
08:15,8.25,942.3,542.3,0.28,500,500.0,42.3,0.0,23.26,23.37,113,,,1931
08:30,8.5,1118.1,718.1,0.28,500,500.0,218.1,0.0,24.51,25.16,121,,,2041
08:45,8.75,1314.5,914.5,0.28,500,500.0,414.5,0.0,25.76,27.45,130,,,2169
09:00,9.0,1531.1,1131.1,0.28,500,500.0,631.1,0.0,27.01,30.28,141,,,2321
09:15,9.25,1767.1,1367.1,0.28,500,500.0,867.1,0.0,28.26,33.7,153,,,2503
09:30,9.5,2020.6,1620.6,0.28,500,500.0,1120.6,0.0,29.51,37.75,167,,,2726
09:45,9.75,2289.2,1889.2,0.28,500,500.0,1389.2,0.0,30.76,42.47,184,,,3004
10:00,10.0,2569.6,2169.6,0.28,500,500.0,1669.6,0.0,32.01,47.89,203,,,3362
10:15,10.25,2857.9,2457.9,0.28,500,500.0,1957.9,0.0,33.26,54.04,226,,,3839
10:30,10.5,3149.2,2749.2,0.28,500,500.0,2249.2,0.0,34.51,60.91,254,,,4507
